,Title,URL,Description,Salary,Location,Degree Required,Hiring Multiple Candidates,Duration,Starting,Deadline
321,Analyst Programme - Technology - Technology Operations - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62040/analyst-programme-technology-technology-operations-2025,"Analytics, FinTech, IT, Data, Software, Cyber.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
322,Graduate Human Factors/Usability Engineer,https://www.gradcracker.com/hub/1088/cambridge-consultants/graduate-job/62175/graduate-human-factors-usability-engineer,"Technology, Product Design, Software, Data.",Competitive,Cambridge,All grades,Ongoing,N/A,N/A,N/A
323,Service Analyst,https://www.gradcracker.com/hub/578/tpp/graduate-job/27748/service-analyst,"Computer Science, Systems, Software.","£45,000",Leeds,2 and above,Yes,Ongoing,N/A,N/A
324,Graduate Analysts,https://www.gradcracker.com/hub/578/tpp/graduate-job/18466/graduate-analysts,"Computer Science, Software, Analytics.","£60,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
325,System Administrator,https://www.gradcracker.com/hub/759/cern/graduate-job/62496/system-administrator,"Software, Computer Science, Systems.","5,134 and 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),Bachelor's or Master's,October 2024,"September 8th, 2024",N/A,N/A
326,IT Operations Graduate Programme - Leeds,https://www.gradcracker.com/hub/308/fdm-group/graduate-job/62517/it-operations-graduate-programme-leeds,"Computer Science, Software, IT.",Competitive,Leeds,2 and above,Yes,Ongoing,N/A,N/A
327,Graduate - ICT Applications Engineer,https://www.gradcracker.com/hub/1302/epwin-group/graduate-job/62262/graduate-ict-applications-engineer,"Computer Science, IT, Software.",Competitive,Telford (Shropshire),All grades,Today,N/A,N/A,N/A
328,Technology Analyst,https://www.gradcracker.com/hub/1227/idtechex/graduate-job/53961/technology-analyst,"Physics, Chemistry, Biology, Material Science.",Competitive,Remote,1 and above,Ongoing,N/A,N/A,N/A
329,Analyst Programme - Technology - Analytics & Modeling - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62029/analyst-programme-technology-analytics-and-modeling-2025,"Analytics, FinTech, Economics, Maths, Software.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
330,Analyst Programme - Operations - Technology Operations - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62028/analyst-programme-operations-technology-operations-2025,"Analytics, FinTech, IT, Data, Software, Cyber.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
331,Analyst Programme - Technology - Artificial Intelligence - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62031/analyst-programme-technology-artificial-intelligence-2025,"Analytics, FinTech, Software, IT, Data, AI.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
332,Graduate Developer,https://www.gradcracker.com/hub/1213/alscient/graduate-job/53418/graduate-developer,"Software, Computer Science, IT, Systems.","£38,000",Leeds,All grades,Ongoing,N/A,N/A,N/A
333,Artificial Intelligence Engineer in DAQ systems,https://www.gradcracker.com/hub/759/cern/graduate-job/62237/artificial-intelligence-engineer-in-daq-systems,"Software, Systems, Computer Science, AI.","5,134 - 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),All grades,October 2024,"August 19th, 2024",N/A,N/A
334,Junior IT Application Specialist,https://www.gradcracker.com/hub/759/cern/graduate-job/62171/junior-it-application-specialist,"IT, Software, Systems, Computer Science.","5,134 - 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),All grades,October 2024,"August 18th, 2024",N/A,N/A
335,IT Manager/IT Technician,https://www.gradcracker.com/hub/964/rail-ability/graduate-job/60583/it-manager-it-technician,"IT, Software, Systems, Computer Science.","£35,000 - £45,000",Stafford (West Midlands) (Hybrid),All grades,Immediate Start,Ongoing,N/A,N/A
336,Graduate DevOps Engineer (Security Clearance required),https://www.gradcracker.com/hub/1212/smartdcs-it/graduate-job/60138/graduate-devops-engineer-security-clearance-required,"Software, IT, Computer Science, Systems.",Competitive,Cheltenham (Gloucestershire) (Hybrid),All grades,Ongoing,N/A,N/A,N/A
337,Full Stack Developers,https://www.gradcracker.com/hub/578/tpp/graduate-job/32515/full-stack-developers,"Software, Systems, Computer Science, AI.","Minimum £60,000 (depending on experience)",Leeds,1 and above,Yes,Ongoing,N/A,N/A
338,Technical Systems Administrator,https://www.gradcracker.com/hub/578/tpp/graduate-job/33570/technical-systems-administrator,"Computer Science, IT, Software, Hardware.","£45,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
339,Semiconductor Technology Analyst,https://www.gradcracker.com/hub/1227/idtechex/graduate-job/53973/semiconductor-technology-analyst,"Physics, Chemistry, Material Science.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
340,Systems Engineer,https://www.gradcracker.com/hub/137/qinetiq/graduate-job/61273/systems-engineer,"Systems, Software, Computing.",Competitive,Malvern Hills (Worcestershire),All grades,Yes,Ongoing,N/A,N/A
341,Graduate Analysts (Mandarin Speakers),https://www.gradcracker.com/hub/578/tpp/graduate-job/18467/graduate-analysts-mandarin-speakers,"Computing, Software, Analytics.","£60,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
342,Trainee Patent Attorney – Engineering & Tech (2025 start date),https://www.gradcracker.com/hub/802/carpmaels-and-ransford/graduate-job/62146/trainee-patent-attorney-engineering-and-tech-2025-start-date,"Electrical, Electronic, Software, Computer Science, Physics.","Base salary of approximately £50,000",London (Hybrid),1 and above,Yes,September 2025,"November 8th, 2024",N/A
343,Graduate Power Platform Developer,https://www.gradcracker.com/hub/691/reply/graduate-job/62456/graduate-power-platform-developer,"Computer Science, Software, IT, Web Development.",Competitive,Manchester (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
344,Analyst Programme - Technology - Sales & Relationship Management – Fintech Platform - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62034/analyst-programme-technology-sales-and-relationship-management-fintech-platform-2025,"Analytics, FinTech, Software, IT, Data Science.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
345,Experienced C++ and Python Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62241/experienced-c-and-python-engineer,"Software, Computing, Data, Physics.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"September 1st, 2024",N/A,N/A
346,"Technical Analyst, Power Markets",https://www.gradcracker.com/hub/1119/aurora-energy-research/graduate-job/61168/technical-analyst-power-markets,"Maths, Physics, Computing, Software.",Competitive,Oxford (Hybrid),1 and above,Immediate Start,Ongoing,N/A,N/A
347,Metrology Engineer,https://www.gradcracker.com/hub/183/precision-castparts-corp/graduate-job/60731/metrology-engineer,"Computing, IT, Software, Maths.","£32,000 - £36,000",Leicester,All grades,Ongoing,N/A,N/A,N/A
348,Graduate - IT,https://www.gradcracker.com/hub/1014/buuk-infrastructure/graduate-job/62484/graduate-it,"Computing, Software, Systems, IT.","£31,421",Woolpit (Suffolk),1 and above,"October 31st, 2024",N/A,N/A,N/A
349,Experimental Physicist,https://www.gradcracker.com/hub/61/awe/graduate-job/62292/experimental-physicist,"Computing, Physics, Maths, Software.","£28,420 - £34,000",Aldermaston (West Berkshire),1 and above,Yes,"August 27th, 2024",N/A,N/A
350,Battery/Energy Storage Technology Analyst,https://www.gradcracker.com/hub/1227/idtechex/graduate-job/62257/battery-energy-storage-technology-analyst,"Physics, Chemistry, Material Science, Energy.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
351,Associate Observability Engineer,https://www.gradcracker.com/hub/1272/the-software-institute/graduate-job/62290/associate-observability-engineer,"Computer Science, IT, Software, Web Development, Cyber Security.","£27,000",Brighton,1 and above,September 2024,Ongoing,N/A,N/A
352,Machine Learning Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62318/machine-learning-engineer,"IT, Software, Data Science, Computing.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"August 29th, 2024",N/A,N/A
353,Associate Data Processing Analyst,https://www.gradcracker.com/hub/1061/adelphi/graduate-job/62189/associate-data-processing-analyst,"Data, Computing, Software, Maths, Analytics.",Competitive,Bollington (Cheshire),1 and above,Ongoing,N/A,N/A,N/A
354,Graduate Cloud Consultant,https://www.gradcracker.com/hub/691/reply/graduate-job/62455/graduate-cloud-consultant,"Computing, IT, Software, Web Development.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
355,Graduate Cloud Consultant,https://www.gradcracker.com/hub/691/reply/graduate-job/62541/graduate-cloud-consultant,"Computing, IT, Software, Web Development.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
356,Graduate Java Developer,https://www.gradcracker.com/hub/691/reply/graduate-job/61361/graduate-java-developer,"Computing, Software, IT, Web Development.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
357,Graduate Azure Cloud Consultant,https://www.gradcracker.com/hub/691/reply/graduate-job/61852/graduate-azure-cloud-consultant,"Computing, IT, Software, Web Development.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
358,Graduate Systems Engineer (Customer Support),https://www.gradcracker.com/hub/679/leonardo/graduate-job/62558/graduate-systems-engineer-customer-support,"Physics, Maths, Computing, Software, Systems.","£32,000",Luton (Bedfordshire) and Crewe Toll (Edinburgh (Hybrid),1 and above,Yes,Ongoing,N/A,N/A
359,Associate Telecoms Engineer,https://www.gradcracker.com/hub/836/mcdermott/graduate-job/60524/associate-telecoms-engineer,"Telecommunications, Computer Science, IT.",Competitive,Chiswick (London),Master's and above,Ongoing,N/A,N/A,N/A
360,Product Demonstrator & Trainer (Bengali Speaker),https://www.gradcracker.com/hub/578/tpp/graduate-job/60656/product-demonstrator-and-trainer-bengali-speaker,"IT, Computer Science, Analytics.","£60,000",Leeds,1 and above,Ongoing,N/A,N/A,N/A
361,Product Demonstrator & Trainer (Portuguese Speaker),https://www.gradcracker.com/hub/578/tpp/graduate-job/52217/product-demonstrator-and-trainer-portuguese-speaker,"IT, Computer Science, Analytics.","£60,000",Leeds,1 and above,Ongoing,N/A,N/A,N/A
362,Product Demonstrator & Trainer (Spanish Speaker),https://www.gradcracker.com/hub/578/tpp/graduate-job/52216/product-demonstrator-and-trainer-spanish-speaker,"IT, Computer Science, Analytics.","£60,000",Leeds,1 and above,Ongoing,N/A,N/A,N/A
363,Theoretical Scientist,https://www.gradcracker.com/hub/61/awe/graduate-job/62293/theoretical-scientist,"Physics, Maths, Computer Science.","£31,000 - £46,000 (depending on your suitability, qualifications, and level of experience)",Aldermaston (West Berkshire),All grades,"August 19th, 2024",N/A,N/A,N/A
364,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62353/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
365,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62365/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
366,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62359/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Birchwood (Warrington),All grades,Yes,September 2025,Ongoing,N/A
367,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62354/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
368,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62363/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
369,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62356/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
370,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62362/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
371,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62359/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Birchwood (Warrington),All grades,Yes,September 2025,Ongoing,N/A
372,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62354/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
373,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62363/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
374,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62356/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
375,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62352/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
376,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62353/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
377,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62368/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
378,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62371/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
379,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62367/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
380,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62341/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Birchwood (Cheshire),All grades,Yes,September 2025,Ongoing,N/A
381,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62334/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
382,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62339/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
383,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62340/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
384,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62336/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
385,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62344/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
386,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62330/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
387,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62329/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Birchwood (Warrington),All grades,Yes,September 2025,Ongoing,N/A
388,2025 Quantitative Master's Internship Programme - London,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62084/2025-quantitative-masters-internship-programme-london,"Analytics, Computer Science, Maths, FinTech.",Competitive,London,Master's and above,Ongoing,N/A,N/A,N/A
389,Junior Technical Recruiter,https://www.gradcracker.com/hub/1040/alten/graduate-job/62247/junior-technical-recruiter,"Computer Science, Manufacturing, Automation, Analytics.",Competitive,London (Hybrid),All grades,Ongoing,N/A,N/A,N/A
390,Junior Technical Recruiter at ALTEN,https://www.gradcracker.com/hub/1158/quick-release-automotive/graduate-job/62246/junior-technical-recruiter-at-alten,"Computer Science, Manufacturing, Automation, Analytics.",Competitive,London (Hybrid),All grades,Ongoing,N/A,N/A,N/A
391,Graduate Business Analyst,https://www.gradcracker.com/hub/691/reply/graduate-job/62214/graduate-business-analyst,"Computer Science, Business, IT, Analytics.",Competitive,Sheffield (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
392,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62355/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
393,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62358/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
394,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62351/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
395,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62357/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
396,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62347/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
397,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62343/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Birchwood (Warrington),All grades,Yes,September 2025,Ongoing,N/A
398,Trainee Patent Attorney/Tech,https://www.gradcracker.com/hub/1149/swindell-and-pearson/graduate-job/50600/trainee-patent-attorney-tech,"Physics, Electronic, Computer Science. 2 vacancies.",Competitive,Derby,1 and above,Immediate Start,Ongoing,N/A,N/A
399,Graduate Systems Engineer,https://www.gradcracker.com/hub/1091/fortinet/graduate-job/62438/graduate-systems-engineer,"IT, Cyber Security, Computer Science, Systems.",Competitive,London (Hybrid),All grades,June 2025,Ongoing,N/A,N/A
400,Junior Data Scientist,https://www.gradcracker.com/hub/691/reply/graduate-job/61851/junior-data-scientist,"Maths, IT, Computer Science, Data Science.",Competitive,London (Hybrid),Master's and above,Ongoing,N/A,N/A,N/A
401,Analyst Programme - Corporate & Strategic Functions - Business & Technology Audit - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/61999/analyst-programme-corporate-and-strategic-functions-business-and-technology-audit-2025,"Analytics, Finance, FinTech, Business, Audit.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
402,Senior Technical Engineers,https://www.gradcracker.com/hub/578/tpp/graduate-job/36738/senior-technical-engineers,"Computing, Hardware, Systems.","£60,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
403,(Senior) Product Data Analyst,https://www.gradcracker.com/hub/1119/aurora-energy-research/graduate-job/62328/senior-product-data-analyst,"Analytics, Maths, Statistics, Computer Science, Data Science.",Competitive,Oxford (Hybrid),1 and above,Immediate Start,Ongoing,N/A,N/A
404,Oliver Wyman - Risk Delivery Team – Delivery Consultant,https://www.gradcracker.com/hub/1115/oliver-wyman/graduate-job/59584/oliver-wyman-risk-delivery-team-delivery-consultant,"Maths, Computing, Economics, Finance.",Competitive,Newcastle (Hybrid),1 and above,Yes,Ongoing,N/A,N/A
405,Graduate Technical Engineer,https://www.gradcracker.com/hub/578/tpp/graduate-job/34542/graduate-technical-engineer,"Computing, Hardware, Cyber Security.","£60,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
406,Graduate Developers - Autumn 2024 start,https://www.gradcracker.com/hub/514/dorset-software-services/graduate-job/38246/graduate-developers-autumn-2024-start,"Web Development, Computer Science, Maths, Physics, Chemistry, Mechanical, Electronics.","£27,000 during initial 5-month training period, rising to £31,000 on completion",Poole,1 and above,Yes,September 2024,Ongoing,N/A
407,Graduate Developers - Autumn 2024 start,https://www.gradcracker.com/hub/514/dorset-software-services/graduate-job/38245/graduate-developers-autumn-2024-start,"Web Development, Computer Science, Maths, Physics, Chemistry, Mechanical, Electronics.","Salary of £27,000 during initial training, rising to £31,000 on completion",Oxford,1 and above,Yes,September 2024,Ongoing,N/A
408,Graduate Developers - Autumn 2024 start,https://www.gradcracker.com/hub/514/dorset-software-services/graduate-job/62266/graduate-developers-autumn-2024-start,"Web Development, Computer Science, Maths, Physics, Chemistry, Mechanical, Electronics.","£27,000 during initial 5-month training period, rising to £31,000 on completion",Manchester,1 and above,Yes,September 2024,Ongoing,N/A
409,Analyst Programme - Investments - Quantitative Investing - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62018/analyst-programme-investments-quantitative-investing-2025,"Analytics, Data, Finance, Statistics, Computing.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
410,Research Fellowship: Applied Physics and Engineering,https://www.gradcracker.com/hub/759/cern/graduate-job/61740/research-fellowship-applied-physics-and-engineering,"Physics, Electronic, Mechanical, Computing, Maths.","6,650 Swiss francs per month (net of tax)",Geneva (Switzerland),Master's/PhD,"September 2nd, 2024",N/A,N/A,N/A
411,Graduate Engineer/Developer,https://www.gradcracker.com/hub/903/proactsis-controls/graduate-job/34515/graduate-engineer-developer,"Robotics, Mechatronics, Electronics, Computing, Automotive.","£28,000 - £30,000",Norwich,1 and above,Immediate Start,"August 28th, 2024",N/A,N/A
412,Graduate Electronics Engineer,https://www.gradcracker.com/hub/679/leonardo/graduate-job/58952/graduate-electronics-engineer,"Computing, Electrical, Electronic, Hardware, Systems.","£32,000","Crewe Toll, Edinburgh (Hybrid)",1 and above,Yes,Ongoing,N/A,N/A
413,Computational Physicist (Machine Learning and Optimal Control),https://www.gradcracker.com/hub/759/cern/graduate-job/62556/computational-physicist-machine-learning-and-optimal-control,"Computing, Physics, Maths, Analytics, Data.","5,134 and 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,November 2024,"October 10th, 2024",N/A,N/A
414,Nuage Networks Engineer,https://www.gradcracker.com/hub/743/nokia/graduate-job/25260/nuage-networks-engineer,"Telecommunications, Software, Systems.",Competitive,Bristol,All grades,Ongoing,N/A,N/A,N/A
415,Network Management Engineer,https://www.gradcracker.com/hub/743/nokia/graduate-job/25276/network-management-engineer,"Telecommunications, Software, Systems.",Competitive,Bristol,All grades,Ongoing,N/A,N/A,N/A
416,Communications Integration Engineer,https://www.gradcracker.com/hub/137/qinetiq/graduate-job/62449/communications-integration-engineer,"Software, Systems, Telecommunications.",Competitive,Portsmouth,All grades,Ongoing,N/A,N/A,N/A
417,Commercial Managers,https://www.gradcracker.com/hub/578/tpp/graduate-job/31221/commercial-managers,"IT, Systems, Software.","£60,000",Leeds,1 and above,Yes,Ongoing,N/A,N/A
418,Analyst Programme - Client & Product Functions - Sales & Relationship Management – Fintech Platform - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/61996/analyst-programme-client-and-product-functions-sales-and-relationship-management-fintech-platform-2025,"Analytics, Finance, FinTech, Software.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
419,Communications Integration Engineer,https://www.gradcracker.com/hub/137/qinetiq/graduate-job/62185/communications-integration-engineer,"Software, Systems, Telecommunications, Electronic.",Competitive,Portsmouth,All grades,Ongoing,N/A,N/A,N/A
420,Design Engineer – Off-Highway Plant,https://www.gradcracker.com/hub/964/rail-ability/graduate-job/50122/design-engineer-off-highway-plant,"Software, Electronic, Mechanical, Mechatronics.","£36,000 - £38,000",Stafford (West Midlands),1 and above,Ongoing,N/A,N/A,N/A
421,Graduate Systems Engineer,https://www.gradcracker.com/hub/1016/smiths-detection/graduate-job/43228/graduate-systems-engineer,"Software, Electronics, Mechanical, Systems.","£26,000",Hemel Hempstead (Hertfordshire),1 and above,Ongoing,N/A,N/A,N/A
422,IT Operations Graduate Programme - London,https://www.gradcracker.com/hub/308/fdm-group/graduate-job/61965/it-operations-graduate-programme-london,"Data, Analytics IT, Software.",Competitive,London,2 and above,Yes,Ongoing,N/A,N/A
423,Mechanical Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62554/mechanical-engineer,"Mechanical, Manufacturing, Electronics, Software.","6,212 and 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"September 1st, 2024",N/A,N/A
424,Analyst Programme - Investments - Trading & Securities Lending - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62019/analyst-programme-investments-trading-and-securities-lending-2025,"Analytics, Data, Finance, FinTech, Software.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
425,Analyst Programme - Corporate & Strategic Functions - Risk - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62007/analyst-programme-corporate-and-strategic-functions-risk-2025,"Analytics, FinTech, Data, Statistics, Software.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
426,Electronics Engineer for Motion Control,https://www.gradcracker.com/hub/759/cern/graduate-job/61969/electronics-engineer-for-motion-control,"Electronic, Electrical, C&I, Software.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"August 21st, 2024",N/A,N/A
427,Junior Data Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62313/junior-data-engineer,"IT, Software, Systems, Data Science.","5,134 and 5,647 Swiss Francs per month (net of tax)",Geneva (Switzerland),2 and above,November 2024,"September 1st, 2024",N/A,N/A
