,Title,URL,Description,Salary,Location,Degree Required,Hiring Multiple Candidates,Duration,Starting,Deadline
53,Analyst Programme - Technology - Sales & Relationship Management – Fintech Platform - 2025,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62034/analyst-programme-technology-sales-and-relationship-management-fintech-platform-2025,"Analytics, FinTech, Software, IT, Data Science.",Competitive,"London, Edinburgh and Budapest",All grades,Yes,August 2025,Ongoing,N/A
54,Experienced C++ and Python Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62241/experienced-c-and-python-engineer,"Software, Computing, Data, Physics.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"September 1st, 2024",N/A,N/A
55,"Technical Analyst, Power Markets",https://www.gradcracker.com/hub/1119/aurora-energy-research/graduate-job/61168/technical-analyst-power-markets,"Maths, Physics, Computing, Software.",Competitive,Oxford (Hybrid),1 and above,Immediate Start,Ongoing,N/A,N/A
56,Metrology Engineer,https://www.gradcracker.com/hub/183/precision-castparts-corp/graduate-job/60731/metrology-engineer,"Computing, IT, Software, Maths.","£32,000 - £36,000",Leicester,All grades,Ongoing,N/A,N/A,N/A
57,Graduate - IT,https://www.gradcracker.com/hub/1014/buuk-infrastructure/graduate-job/62484/graduate-it,"Computing, Software, Systems, IT.","£31,421",Woolpit (Suffolk),1 and above,"October 31st, 2024",N/A,N/A,N/A
58,Experimental Physicist,https://www.gradcracker.com/hub/61/awe/graduate-job/62292/experimental-physicist,"Computing, Physics, Maths, Software.","£28,420 - £34,000",Aldermaston (West Berkshire),1 and above,Yes,"August 27th, 2024",N/A,N/A
59,Battery/Energy Storage Technology Analyst,https://www.gradcracker.com/hub/1227/idtechex/graduate-job/62257/battery-energy-storage-technology-analyst,"Physics, Chemistry, Material Science, Energy.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
60,Associate Observability Engineer,https://www.gradcracker.com/hub/1272/the-software-institute/graduate-job/62290/associate-observability-engineer,"Computer Science, IT, Software, Web Development, Cyber Security.","£27,000",Brighton,1 and above,September 2024,Ongoing,N/A,N/A
61,Machine Learning Engineer,https://www.gradcracker.com/hub/759/cern/graduate-job/62318/machine-learning-engineer,"IT, Software, Data Science, Computing.","6,212 - 6,828 Swiss Francs per month (net of tax)",Geneva (Switzerland),Master's and above,October 2024,"August 29th, 2024",N/A,N/A
62,Associate Data Processing Analyst,https://www.gradcracker.com/hub/1061/adelphi/graduate-job/62189/associate-data-processing-analyst,"Data, Computing, Software, Maths, Analytics.",Competitive,Bollington (Cheshire),1 and above,Ongoing,N/A,N/A,N/A
63,Graduate Cloud Consultant,https://www.gradcracker.com/hub/691/reply/graduate-job/62455/graduate-cloud-consultant,"Computing, IT, Software, Web Development.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
64,Graduate Cloud Consultant,https://www.gradcracker.com/hub/691/reply/graduate-job/62541/graduate-cloud-consultant,"Computing, IT, Software, Web Development.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
65,Graduate Java Developer,https://www.gradcracker.com/hub/691/reply/graduate-job/61361/graduate-java-developer,"Computing, Software, IT, Web Development.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
66,Graduate Azure Cloud Consultant,https://www.gradcracker.com/hub/691/reply/graduate-job/61852/graduate-azure-cloud-consultant,"Computing, IT, Software, Web Development.",Competitive,London (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
67,Graduate Systems Engineer (Customer Support),https://www.gradcracker.com/hub/679/leonardo/graduate-job/62558/graduate-systems-engineer-customer-support,"Physics, Maths, Computing, Software, Systems.","£32,000",Luton (Bedfordshire) and Crewe Toll (Edinburgh (Hybrid),1 and above,Yes,Ongoing,N/A,N/A
68,Associate Telecoms Engineer,https://www.gradcracker.com/hub/836/mcdermott/graduate-job/60524/associate-telecoms-engineer,"Telecommunications, Computer Science, IT.",Competitive,Chiswick (London),Master's and above,Ongoing,N/A,N/A,N/A
69,Product Demonstrator & Trainer (Portuguese Speaker),https://www.gradcracker.com/hub/578/tpp/graduate-job/52217/product-demonstrator-and-trainer-portuguese-speaker,"IT, Computer Science, Analytics.","£60,000",Leeds,1 and above,Ongoing,N/A,N/A,N/A
70,Product Demonstrator & Trainer (Spanish Speaker),https://www.gradcracker.com/hub/578/tpp/graduate-job/52216/product-demonstrator-and-trainer-spanish-speaker,"IT, Computer Science, Analytics.","£60,000",Leeds,1 and above,Ongoing,N/A,N/A,N/A
71,Product Demonstrator & Trainer (Bengali Speaker),https://www.gradcracker.com/hub/578/tpp/graduate-job/60656/product-demonstrator-and-trainer-bengali-speaker,"IT, Computer Science, Analytics.","£60,000",Leeds,1 and above,Ongoing,N/A,N/A,N/A
72,Theoretical Scientist,https://www.gradcracker.com/hub/61/awe/graduate-job/62293/theoretical-scientist,"Physics, Maths, Computer Science.","£31,000 - £46,000 (depending on your suitability, qualifications, and level of experience)",Aldermaston (West Berkshire),All grades,"August 19th, 2024",N/A,N/A,N/A
73,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62362/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
74,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62361/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
75,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62364/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
76,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62369/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
77,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62370/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
78,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62366/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Birchwood (Cheshire),All grades,Yes,September 2025,Ongoing,N/A
79,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62365/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
80,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62361/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
81,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62352/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
82,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62340/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
83,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62336/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
84,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62341/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Birchwood (Cheshire),All grades,Yes,September 2025,Ongoing,N/A
85,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62334/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
86,"Graduate Process Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62344/graduate-process-engineer-energy-security-and-technology,"Mechanical, Physics, Civil, Nuclear, Process.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
87,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62339/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
88,"Graduate System Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62364/graduate-system-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
89,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62369/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
90,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62370/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
91,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62366/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Birchwood (Cheshire),All grades,Yes,September 2025,Ongoing,N/A
92,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62368/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
93,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62371/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
94,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62330/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
95,"Graduate Project Manager – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62329/graduate-project-manager-energy-security-and-technology,"Mechanical, Physics, Materials, Project Management.",Competitive,Birchwood (Warrington),All grades,Yes,September 2025,Ongoing,N/A
96,"Graduate Civil Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62367/graduate-civil-engineer-energy-security-and-technology,"Mechanical, Physics, Maths, Energy, Civil.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
97,2025 Quantitative Master's Internship Programme - London,https://www.gradcracker.com/hub/807/blackrock/graduate-job/62084/2025-quantitative-masters-internship-programme-london,"Analytics, Computer Science, Maths, FinTech.",Competitive,London,Master's and above,Ongoing,N/A,N/A,N/A
98,Junior Technical Recruiter,https://www.gradcracker.com/hub/1040/alten/graduate-job/62247/junior-technical-recruiter,"Computer Science, Manufacturing, Automation, Analytics.",Competitive,London (Hybrid),All grades,Ongoing,N/A,N/A,N/A
99,Junior Technical Recruiter at ALTEN,https://www.gradcracker.com/hub/1158/quick-release-automotive/graduate-job/62246/junior-technical-recruiter-at-alten,"Computer Science, Manufacturing, Automation, Analytics.",Competitive,London (Hybrid),All grades,Ongoing,N/A,N/A,N/A
100,Graduate Business Analyst,https://www.gradcracker.com/hub/691/reply/graduate-job/62214/graduate-business-analyst,"Computer Science, Business, IT, Analytics.",Competitive,Sheffield (Hybrid),1 and above,Ongoing,N/A,N/A,N/A
101,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62351/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Glasgow,All grades,Yes,September 2025,Ongoing,N/A
102,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62357/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Bristol,All grades,Yes,September 2025,Ongoing,N/A
103,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62358/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Stockton-on-Tees,All grades,Yes,September 2025,Ongoing,N/A
104,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62355/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,London,All grades,Yes,September 2025,Ongoing,N/A
105,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62347/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Manchester,All grades,Yes,September 2025,Ongoing,N/A
106,"Graduate Safety Case Engineer – Energy, Security & Technology",https://www.gradcracker.com/hub/41/jacobs/graduate-job/62343/graduate-safety-case-engineer-energy-security-and-technology,"Mechanical, Physics, Materials, Nuclear, Civil.",Competitive,Birchwood (Warrington),All grades,Yes,September 2025,Ongoing,N/A
107,Trainee Patent Attorney/Tech,https://www.gradcracker.com/hub/1149/swindell-and-pearson/graduate-job/50600/trainee-patent-attorney-tech,"Physics, Electronic, Computer Science. 2 vacancies.",Competitive,Derby,1 and above,Immediate Start,Ongoing,N/A,N/A
